;question;answer;contexts;source
0;What is the primary goal of data science as it applies various techniques from fields like mathematics and machine learning?;The primary goal of data science is to extract useful knowledge from data.;['Data science is the study of the extraction of knowledge from data. It uses various techniques from many fields, including signal processing, mathematics, probability, machine learning, computer programming, statistics, data engineering, pattern matching, and data visualization, with the goal of extracting useful knowledge from the data. With computer systems able to handle more data, big data is an important aspect of data science.'];https://simple.wikipedia.org/wiki/Data%20science
1;Why might cross-disciplinary teams be essential in data science?;Cross-disciplinary teams are essential in data science because a data scientist is typically an expert in only one or two disciplines such as mathematics, statistics, or computer science, which necessitates collaboration to solve complex data problems effectively.;['A person that does data science is called a data scientist. Data scientists solve complicated data problems using mathematics, statistics and computer science, although very good skill in these subjects are not required. However, a data scientist is most likely to be an expert in only one or two of these disciplines, meaning that cross disciplinary teams can be a key component of data science.'];https://simple.wikipedia.org/wiki/Data%20science
2;What enables good data scientists to achieve various purposes?;Good data scientists are able to apply their diverse skills and competencies to achieve many kinds of purposes.;['Good data scientists are able to apply their skills to achieve many kinds of purposes. Their skills and competencies vary widely. References'];https://simple.wikipedia.org/wiki/Data%20science
3;What is another term used for data mining, and what is its primary goal?;Another term used for data mining is 'knowledge discovery in databases' or KDD. Its primary goal is to find new and useful information from large datasets.;['Data mining is a term from computer science. Sometimes it is also called knowledge discovery in databases (KDD). Data mining is about finding new information in a lot of data. The information obtained from data mining is hopefully both new and useful.'];https://simple.wikipedia.org/wiki/Data%20mining
4;Why do stores save information about purchases, and how does this influence their future business decisions?;Stores save information about purchases to understand how much they need to buy in the future, ensuring they have enough stock to meet customer demand. This strategic data collection helps in making informed inventory decisions.;['In many cases, data is stored so it can be used later. The data is saved with a goal. For example, a store wants to save what has been bought. They want to do this to know how much they should buy themselves, to have enough to sell later. Saving this information, makes a lot of data. The data is usually saved in a database. The reason why data is saved is called the first use.'];https://simple.wikipedia.org/wiki/Data%20mining
5;What is an example of how stores use data to understand customer buying patterns?;Stores analyze data to identify items that customers frequently purchase together, such as pasta and mushrooms, to better understand buying patterns and potentially enhance marketing strategies.;['Later, the same data can also be used to get other information that was not needed for the first use. The store might want to know now what kind of things people buy together when they buy at the store. (Many people who buy pasta also buy mushrooms for example.) That kind of information is in the data, and is useful, but was not the reason why the data was saved. This information is new and can be useful. It is a second use for the same data.'];https://simple.wikipedia.org/wiki/Data%20mining
6;What is the process called when new and useful information is extracted from data?;The process is called data mining.;['Finding new information that can also be useful from data, is called data mining. Different kinds of data mining'];https://simple.wikipedia.org/wiki/Data%20mining
7;What role does prediction play in data mining?;In data mining, prediction is commonly involved to generate new information, although it often comes with uncertainty in the results.;['For data, there a lot of different kinds of data mining for getting new information. Usually, prediction is involved. There is uncertainty in the predicted results. The following is based on the observation that there is a small green apple in which we can adjust our data in structural manner. Some of the kinds of data mining are:'];https://simple.wikipedia.org/wiki/Data%20mining
8;What is pattern recognition in the context of data mining?;Pattern recognition in data mining involves identifying similarities or patterns among data points in a database, often expressed as rules. For example, the rule 'Small -> green' suggests that small items, like small apples, are often green.;['Pattern recognition (Trying to find similarities in the rows in the database, in the form of rules. Small -> green. (Small apples are often green))'];https://simple.wikipedia.org/wiki/Data%20mining
9;How can knowledge of one data attribute in a Bayesian network help predict another attribute?;In a Bayesian network, understanding one attribute, such as size, can help predict another related attribute, like colour, because the network models how different data attributes are connected and influence each other.;['Using a Bayesian network (Trying to make something that can say how the different data attributes are connected/influence each other. The size and the colour are related. So if you know something about the size, you can guess the colour.)'];https://simple.wikipedia.org/wiki/Data%20mining
